Day,Scheduled,Room,Name,Category,Level,Title
Date Not Scheduled,Time Not Scheduled,,Kenny Young,Cloud,200,Getting the C-Level to level up to the Cloud
Date Not Scheduled,Time Not Scheduled,,Josh Schultz,Other,100,The Evergreen Developer: Timeless Skills for a Long Career
Date Not Scheduled,Time Not Scheduled,Room Not Scheduled,Jeff Key,Other,100,Why are you still hard-coding business logic?
Saturday,8:30 AM,c,That Conference,That Conference,100,GiveCamp and The Humanitarian Toolbox
Sunday,1:00 PM,D,CoderDojo Chi,Family,300,Kid's Coder Dojo - Choose Your Own Adventure
Sunday,1:00 PM,B,Ryan Hatch,Other,400,Lean Startup 101 : Accelerating Ideas into Product Success
Sunday,6:00 PM,Conference Center,That Conference,That Conference,100,Early Registration and Meet and Greet
Monday,7:30 AM,Mess Hall,That Conference,That Conference,100,Breakfast ( Monday )
Monday,8:30 AM,Mess Hall,Elizabeth Naramore,Keynote,400,Ripples on the Pond
Monday,10:30 AM,E,Christopher Woodruff,Mobile,200,Developing Mobile Solutions with Azure Mobile Services in Windows 8.1 and Windows Phone
Monday,10:30 AM,Tamarind,Jenna Pederson,Web,200,Leave No Trace: Test Driven Development using the SOLID Principles
Monday,10:30 AM,C,Ryan Niemeyer,Web,200,Oh the Memories! -  An Introduction to Browser Memory Leak Testing
Monday,10:30 AM,B,Richard Campbell,Other,300,"People, Process, Tools – The Essence of DevOps"
Monday,10:30 AM,F,Chris Risner,Cloud,200,Pushing Data to Millions of Devices in Seconds
Monday,10:30 AM,Banyan,Benjamin Gavin,Family,400,Robotics Camp – Arrival – Day 1
Monday,10:30 AM,Cypress,Emily Davis,Family,100,Teaching Kids to Program
Monday,10:30 AM,Wisteria,Greg Tarnoff,Other,100,The UX of Stairs - When simple tasks aren’t so simple
Monday,10:30 AM,Portia,Aaron Hayon,Web,200,Twitter Bootstrap – A Web Developers Best Friend
Monday,10:30 AM,G,Wade Wegner,Mobile,400,Want to Build an SDK for Your API? Learn Tips from the Trenches
Monday,10:30 AM,Guava,Nathan Dotz,Other,200,What I wish the older kids had told me about becoming a functional programmer
Monday,10:30 AM,D,Cori Drew,Other,200,You've used git. You've used TFS. Why aren't you using them together?
Monday,11:30 AM,Mess Hall,That Conference,That Conference,100,Lunch ( Monday )
Monday,1:00 PM,Guava,Brent Stineman,Cloud,300,Azure Service Bus – Enabling Internet of Things
Monday,1:00 PM,D,Jeff Blankenburg,Other,100,Fear
Monday,1:00 PM,Tamarind,Patrick Seda,Mobile,200,Gamification vs. Motivation in Children's Educational Apps
Monday,1:00 PM,Mangrove,Alper Sunar,Mobile,100,Hybrid mobile apps don't have to suck: Minimalist's Guide to Building Hybrid Mobile Apps
Monday,1:00 PM,B,Leon Gersing,Other,100,Leon's Allegory of the Cave
Monday,1:00 PM,Wisteria,George Heeres,Other,100,Linux for Windows Developers
Monday,1:00 PM,F,Joe Brinkman,Web,200,MongoDB: The ultimate backpack for the cloud
Monday,1:00 PM,C,Keith Dahlby,Web,200,One Delegate to Rule Them All: Understanding OWIN
Monday,1:00 PM,Aralia,Jonathan Mills,Mobile,100,Rocking Out With Android Studio
Monday,1:00 PM,Portia,Matt Netkow,Mobile,200,Seeing the forest for the trees: Building Fully Featured HTML5 Mobile Apps
Monday,1:00 PM,G,Joe Eames,Web,200,Slow Roasted AngularJS Best Practices
Monday,1:00 PM,E,Angela Dugan,Other,300,Structuring Your TFS ALM Environment for the Long Haul
Monday,1:00 PM,Mess Hall,That Conference,Family,100,That Wildlife
Monday,2:30 PM,Mangrove,Aaron Hoffman,Other,100,"$0 to $60,000 A Month In 6 Months - A Lean Startup Case Study on Agile Software Architecture"
